ID,YEAR,Volume,Lote,Operacion,Unidad,EL.,Investigator,Fecha,Class,Category,Genus,Species,Name,CF,New Element,Element (standardised),Element,New Element Info,Element info,Side,"Completeness (0=frag, 1=complete)",Portion,Fragmentation,NISP,MNE,Comments,Estimate AGE,Fusion/wear,Proximal,Shaft,Distal,Taphonomy,Photographed,Bird to confirm ID,Additional analysis,Quality of heat/fire exposure,# Charred,# Heat exposed,Carnivore,Rodent,Worked,Butchery,Weathering,Other,Calcined,Measurements,Location of measurement,
1,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Artiodactyla,Odocoileus,viginianus,White-tailed deer,#N/A,,tibia,tibia,,,L,0.2,Distal,,1,,,,Fused,,,,,,,,,,,,,,,,,,,,
2,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Artiodactyla,Odocoileus,viginianus,White-tailed deer,#N/A,,femur,femur,,,R,0,shaft fragment,,1,,,,,,,,possibly,,,,,,,,,,,,,,,,
3,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Cervical,vertebra,,,,,0.9,,,1,1,,,Fused,,,,,,,,,,,,,,,,,,,,
4,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,tarsal,austragalus,,,R,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,rib,rib (12),,,L,1,,,1,1,"Juvinile, small and yet to complete form",,,,,,,,,,,,,,,,,,,,,,
6,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,cranial,basiopheniod,,,L,0,,,1,,two large fossa intact,,Fused,,,,,,,,,,,,,,,,,,,,
7,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,,medium-large,,medium-large mammal,#N/A,,cranial,cranium,,,,0,cranial wall,,1,,,,,,,,,,,,,,,,,,,,,,,,
8,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,Leporidae,Sylvilagus,floridanus,Eastern cottontail,#N/A,,mandible,mandible + dentition,,,L,0.2,anterior,,1,,anterior fragment with only incisor socket and incisor present,,,,,,,,,,,,,,,,,,,,,,
9,2016,0.296,87,17,I17,,MRD,20_VII_13,Bird,General,,,bird,#N/A,,radius,radius,,,L,0.3,proximal,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,2016,0.296,87,17,I17,,MRD,20_VII_13,Bird,General,,,bird,#N/A,,shaft,long bone,,,,0,shaft fragment,,1,,,,,,,,,,,,,,,,,,,,,,,,
11,2016,0.296,87,17,I17,,MRD,20_VII_13,Human,,,,Human,#N/A,,,,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,
12,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,,large,,large mammal,#N/A,,shaft,worked bone,,,,?,,,1,,"two refitting fragments of worked bone shaft, abraded sides and slight two sided bevel at one end. May have once been part of a larger thick spatular or chisel type object. ",,,,,,tool,,,,,,,,,1,,,,,,,
13,2016,0.296,87,17,I17,,MRD,20_VII_13,Mammal,,,,mammal,#N/A,,unknown,fragment,,,,0,,,5,,,,,,,,two heat exposed,,,,,,2,,,,,,,,,,
14,2016,0.244,95,17,J16,,MRD,17_VII_13,Mammal,,,,mammal,#N/A,,unknown,fragment,,,,0,,,13,,,,,,,,6 heat exposed,,,,,,6,,,,,,,,,,
15,2016,0.244,95,17,J16,,MRD,17_VII_13,Human,,,,Human,#N/A,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
16,2016,0.2825,45,17,J8,,AGMR,11_III_13,Reptile,,Testudines,,Turtle,#N/A,,carapace/plastron,plastron scute,,,,0,,,1,,of a size with Kinosternon sp.,,,,,,,,,,,,,,,,,,,,,,
17,2016,0.2825,45,17,J8,,AGMR,11_III_13,Mammal,,medium-large,,medium-large mammal,#N/A,,tooth,Tooth root,,,,0.7,Basal,,1,,MNE=1,,,,,,,,,,,,,,,,,,,,,,
18,2016,0.2825,45,17,J8,,AGMR,11_III_13,Mammal,,,,mammal,#N/A,,unknown,fragment,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Artiodactyla,Odocoileus,viginianus,White-tailed deer,#N/A,Cervical,vertebra,,,,,0.8,,,1,,Multiple cutmarks (same direction but non parallel on the right caudal articulation,,fused,,,,cutmarks,,,,,,,,,,1,,,,,,
20,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Artiodactyla,Odocoileus,viginianus,White-tailed deer,#N/A,Lumbar,vertebra,,,,,0.6,body,,1,,,,,,,,,,,,,,,,,,,,,,,,
21,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,tarsal,austragalus,,,R,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
22,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,metatarsal,Metatarsal (5),,,L,1,,,1,,Small dog,,fused,,,,Carnivore chew,,,"Possibly boiled, slightly shiney but not too smooth (could be unsmooth due to chewing); length:45.4, prox (wxh)7.72x7.79; Distal (wxh)5.61x6.02. Also meant to be shorter than mt2, but not sure if this is small enough to be tlachichi. Not quite as robust as the other possible tlachichi mt 3, but shorter and slightly momre robust than the small dog example in lab. Likely small dog because it is quite narrow. ",,,,1,,,,,,,,,
23,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,phalanx,*proximal phalanx 5,,,L,1,,,1,,,,,,,,,,,Length; Prox (wxh); Distal (wxh),,,,,,,,,,,,,
24,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,rib,rib (1st?),,,R,0.3,costal,,1,,Most likely of rib,,,,,,,,,,,,,,,,,,,,,,
25,2016,0.568,76,17,I17,,MRD,17_VII_13,Reptile,,Trachemys,sp.,Slider turtle,#N/A,,carapace/plastron,carapace- costal scute,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
26,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,floridanus,Eastern cottontail,#N/A,,mandible,mandible + dentition,,,R,0.3,anterior,,1,,"Sockets for P3,4, M1,2 and M1 and inscisor in place, different individual from L mandible in this lote; of a size with floridanus",,,,,,,,,,,,,,,,,,,,,,
27,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,,mandible,mandible,,,L,0.2,anterior,,1,,"ragment includes partial socket for P3. Different individual from R mandible in this lote, of a size with floridanus",,,,,,,,,,,,,,,,,,,,,,
28,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,,tooth,tooth,,,,0,fragments,,7,,,,,,,,,,,,,,,,,,,,,,,,
29,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,,phalanx,proximal phalanx (hindlimb),,,,1,,,1,,form is straight fo likely #2 or 3,,,,,,,,,,,,,,,,,,,,,,
30,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Leporidae,,Rabbit/hare,#N/A,,pelvis,illium,,,R,1,illium,,1,,complete juvenile illium,,No,,,,,,,,,,,,,,,,,,,,
31,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,Cervical,Vertebra,atlas,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
32,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,,small,,small mammal,#N/A,Thoracic,vertebra,,,,,0.7,body,,1,,probaby sylv.,,No,,,,,,,,,,,,,,,,,,,,
33,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Rodentia,Cratogeomys,fumosus thylorhinus,Smokey pocket gopher,#N/A,,tibia,tibia,,,L,0,proximal epiphysis,,1,,whole,,No,,,,,,,,,,,,,,,,,,,,
34,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,,small,,small mammal,#N/A,Vert ND,vertebra,,,,,0,epiphysis,,1,,,,,,,,,,,,,,,,,,,,,,,,
35,2016,0.568,76,17,I17,,MRD,17_VII_13,Bird,General,,,bird,#N/A,,unknown,fragment,,,,0,,,3,,CHECK,,,,,,,,,,,,,,,,,,,,,,
36,2016,0.568,76,17,I17,,MRD,17_VII_13,Bird,General,,,bird,#N/A,,sternum,sternum,,,L,0,Costal facets,,1,,,,,,,,,,,,,,,,,,,,,,,,
37,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,Artiodactyla,Artiodactyla,sp.,Artiodactyl,#N/A,,tibia,tibia,,,R,0.1,"Proximal, medial condyle",,1,,No epiphysis,,No,,,,,,,,,,,,,,,,,,,,
38,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,,,,mammal,#N/A,,unknown,fragment,,,,0,,,47,,,,,,,,,,,,,,,,,,,,,,,,
39,2016,0.568,76,17,I17,,MRD,17_VII_13,Human,,,,Human,#N/A,,,,,,,0,,,30,,Many large chunks from various body parts. NISP is min,,,,,,,,,,,,,,,,,,,,,,
40,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,,medium-large,,medium-large mammal,#N/A,,radius,radius,,,R,0,shaft,,1,,possibly distal shaft of dog radius but a little more round that the examples in the lab.,,,,,,,,,,,,,,,,,,,,,,
41,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,,,,mammal,#N/A,,shaft,worked bone,,,,0,,,5,,"five distinct fragments of worked bone, one possible awl fragment (blunt), other four have abrasion or grooves but no diagnostic portions. ",,,,,,worked bone,,,,,,,,,5,,,,,,,
42,2016,0.568,76,17,I17,,MRD,17_VII_13,Mammal,,,,mammal,#N/A,,unknown,fragment,,,,0,,,2,,,,,,,,One charred one heat exposed,,,,,1,1,,,,,,,,,,
43,2016,0.568,76,17,I17,,MRD,17_VII_13,Fish,,,,fish,#N/A,Cervical,vertebra,C5,,,,0.9,,,1,,Possibly flat fish,,,,,,,,,,,,,,,,,,,,,,
44,2016,0.144,96,17,I16,,MRD,22_VII_13,Mammal,Rodentia,Cratogeomys,fumosus thylorhinus,Smokey pocket gopher,#N/A,,mandible,mandible + dentition,,,L,0.9,,,1,,"smaller than examples of papogeomys and thomomys in lab; p4 and m1 present, partial inscisor present, M2 loose ",,,,,,,,,,,,,,,,,,,,,,
45,2016,0.144,96,17,I16,,MRD,22_VII_13,Human,,,,Human,#N/A,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,
46,2016,0.144,96,17,I16,,MRD,22_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,,mandible,mandible + dentition,,,R,0.2,anterior,,1,,patial inscisor and p3 and 4 loose.,,,,,,,,,,,,,,,,,,,,,,
47,2016,0.144,96,17,I16,,MRD,22_VII_13,Mammal,Leporidae,Sylvilagus,floridanus,Eastern cottontail,#N/A,,ulna,ulna,,,L,1,,,1,,,,N (both),,,,,,,,,,,,,,,,,,,,
48,2016,0.144,96,17,I16,,MRD,22_VII_13,Mammal,Leporidae,Sylvilagus,sp.,Cottontail,#N/A,,pelvis,pelvis,,,L,0.9,,,1,,,,Y,,,,,,,,,,,,,,,,,,,,
49,2016,0.144,96,17,I16,,MRD,22_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,metacarpal,Metacarpal (4),,,R,0.4,proximal,,1,,,,Y,,,,heat exposed/charred,,,"7.51x6.32, not same animal as other Metacarpal 4 R",,1,1,,,,,,,,,,
50,2016,0.144,96,17,I16,,MRD,22_VII_13,Bird,General,,,bird,#N/A,,unknown,fragment,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,
51,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,tooth,pm2 (inferior),,,L,0.4,"Anterior half, 1/2 principal cusp + root",,1,,,,,,,,,,,,,,,,,,,,,,,,
52,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,,tooth,pm4 (inferior),,,L,0.6,"posterior half, 1/2 principal cusp and caudal cusp and root",,1,,,,,,,,,,,"Altura (min):7.09, ancho: 5.91; a little wide, but most likely familiaris",,,,,,,,,,,,,
53,2016,0.41,86,17,J7,,MRD,19_VII_13,Mammal,Carnivora,Canis,sp.,Canid,#N/A,,tooth,M3? (inferior),,,,1,,,1,,"Odd tooth, looks like M3 of Canis latrans, but only example in book, none of the canid sp. examined exhibit this type of cusp. Nor any other animal we could find photos of. Having one root, and being this size and shape, the most logical is a malformed M3 of a Canis sp. ",,,,,,,200-2,,"Altura: 4.1, ancho:3.92, ant-post:5.88",,,,,,,,,,,,,
