Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m³),Operación,Unidad,Elemento,Estructura,Cuarto,Relación a otros lotes (estratigrafía),Descripción del sedimento,Interpretación cultural,Flotación,,,
1,AGMR,1 VII 13,0.5,,0.82,17,K8,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,,Topsoil,surface,
2,AGMR,1 VII 13,0.5,,1.02,17,K9,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,,Topsoil,surface,
3,AGMR,2 VII 13,0.5,,0.725,17,J8,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,,Topsoil,surface,
4,AGMR,3 VII 13,0.5,,0.86,17,J9,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 5/1",Superficie,,Topsoil,surface,
5,DHS,1 VII 13,0.5,,0.74,17,K21,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,surface,
6,DHS,1 VII 13,0.5,,0.81,17,J21,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,surface,
7,DHS,1 VII 13,0.5,,0.87,17,K20,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,surface,
8,DHS,1 VII 13,0.5,,0.72,17,J20,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,surface,
9,DHS,3 VII 13,0.5,,0.48,17,K21,,,,Debajo de 5,"Pedazos de piso apisonado y bajareque, Munsell 10YR 4/2, Arena sub-angular",Derrumbe y deslave,X,Floor pieces,Collapse and mudslide,
10,DHS,3 VII 13,0.5,,0.07,17,K21,Elemento 1,,,Debajo de 9,Tierra limosa con gravilla. Munsell 10YR 4/2,Depósito tipo cache con núcleos de obsidiana,X,silty sediment with gravel,cache type deposit,x
11,DHS,3 VII 13,0.5,,1.45,17,J21,,,,Debajo de 6,Tierra arenosa. Munsell 10YR 4/2,Derrumbe y relleno,,sandy sediment - Munsell,Collapse and filled,
12,DHS,3 VII 13,0.5,,0.4,17,J20,,,,Debajo de 8,Tierra limosa. Munsell 10YR 4/2,Derrumbe y deslave,,silty sediment - Munsell,Collapse and mudslide,
13,DHS,3 VII 13,0.5,,0.4,17,K20,,,,Debajo de 7,Tierra arcillosa. Munsell 10YR 4/2,Deslave,X,,Mudslide,
14,AGMR,3 VII 13,0.5,,0.2,17,K8,,,,Debajo de 1,"Arena mediana, Munsell 7.5 YR 3/2",Superficie y Deslave,,,Surface and mudslide,
15,AGMR,3 VII 13,0.5,,0.21,17,J8,,,,Debajo de 3,"Arena mediana, Munsell 7.5 YR 3/2",Superficie y Deslave,,,Surface and mudslide,
16,AGMR,4 VII 13,0.5,,0.985,17,J8,,Muro 1,,Debajo de 15,"Arena fina, arcillosa últimos cm. Munsell 7.5YR 3/2",Deslave,,,Mudslide,
17,AGMR,4 VII 13,0.5,,0.873,17,J9,,,,Debajo de 4,Encima: Tierra orgánica c/ arena mediana. Munsell 7.5YR 3/2. Abajo: Muy arcillosa.,Deslave,,,Mudslide,
18,DHS,4 VII 13,0.5,,0.44,17,K20,,,,Debajo de 13,Tierra arcillosa. Munsell 10YR 4/2,Núcleo de construcción con relleno,,,corefilled construction,
19,DHS,5 VII 13,0.5,,0.46,17,J20,,,,Debajo de 12,Tierra limosa y relleno. Munsell 10YR 4/2,Núcleo de construcción con relleno,,,corefilled construction,
20,DHS,5 VII 13,0.5,,0.3,17,J21,,,Cuarto 1,"Debajo de 11, dentro de cuarto 1, S del muro",Tierra limosa con piedras de derrumbe. Munsell 10YR 4/2,Núcleo de construcción con relleno sobre piso,X,,corefilled construction above floor,
21,DHS,5 VII 13,0.5,,0.38,17,J21,,,,"Debajo de 11, N (exterior) del cuarto 1",Tierra arcillosa con algunas piedras. Munsell 10YR 5/2,Núcleo de construcción con relleno,X,,corefilled construction,
22,AGMR,5 VII 13,0.5,,0.213,17,J8,,Muro 1,,Debajo de 16,Tierra arcillosa. Munsell 10YR 5/3,Núcleo de construcción,,,construction,
23,AGMR,5 VII 13,0.5,,1.336,17,K8,,Muro 1,,Debajo de 14,"Arena fina arriba, después Silt fino, acabando con tierra arcillosa. Munsell 10YR 5/3",Núcleo de construcción,,,construction,
24,AGMR,5 VII 13,0.5,,1.089,17,K9,,Muro 1,,Debajo de 2,Arena mediana hasta limo fino. Munsell 10YR 5/2,Núcleo de construcción,X,,construction,
25,DHS,6 VII 13,0.5,,0.4,17,K21,,,,"Debajo de 9, parejo con 10",Tierra limosa. Munsell 10YR 4/2,Relleno y deslave,,,Fill and mudslide,
26,DHS,6 VII 13,0.5,,0.68,17,I21,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,Surface,
27,DHS,8 VII 13,0.5,,0.54,17,I20,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,Surface,
28,MRD,8 VII 13,0.5,,0.45,17,J16,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 3/2",Superficie,,Topsoil,Surface,
29,MRD,8 VII 13,0.5,,0.58,17,J17,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 3/2",Superficie,,Topsoil,Surface,
30,MRD,8 VII 13,0.5,,0.45,17,I16,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 3/2",Superficie,,Topsoil,Surface,
31,MRD,8 VII 13,0.5,,0.45,17,I17,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 3/2",Superficie,,Topsoil,Surface,
32,DHS,8 VII 13,0.5,,0.61,17,I21,,,,Debajo de 26,Tierra limosa con piedras de derrumbe y un poco de tepetate molido. Munsell 10YR 5/2,Derrumbe,X,,Collapse,
33,DHS,8 VII 13,0.5,,1.15,17,I20,,,,Debajo de 27,"Tierra limosa, relleno y piedras. Munsell 10YR 4/2",Derrumbe y relleno,,,Collapse and filled,
34,AGMR,8 VII 13,0.5,,0.128,17,J8,Elemento 2,Muro 1,,1m x 1m debajo 22,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,X,,Collapse and mudslide with large potsheds,
35,AGMR,9 VII 13,0.5,,0.0725,17,J8,Elemento 2,Muro 1,,Debajo de 34,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,,,Collapse and mudslide with large potsheds,
36,AGMR,9 VII 13,0.5,,0.134,17,J8,,,,Debajo de 35,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,,,Collapse and mudslide with large potsheds,
37,AGMR,9 VII 13,0.5,,0.241,17,J8,,,,Debajo de 36,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,,,Collapse and Mudslide,
38,AGMR,9 VII 13,0.5,,0.17077,17,J8,,,,Debajo de 37,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,,,Collapse and Mudslide,
39,DHS,9 VII 13,0.5,,0.12,17,I20,,,,Debajo de 33 al W del muro,Tierra limosa y relleno. Munsell 10YR 4/2,Núcleo de construcción con relleno,,,corefilled construction,
40,DHS,9 VII 13,0.5,,0.23,17,I20,,,Cuarto 1,"Debajo de 33 al E del muro, dentro del cuarto 1",Tierra limosa y relleno. Munsell 10YR 4/2,Núcleo de construcción con relleno,X,,corefilled construction,
41,DHS,9 VII 13,0.5,,0.42,17,I21,,,,Debajo de 32,Tierra limosa y relleno. Munsell 10YR 5/2,Núcleo de construcción con relleno,,,corefilled construction,
42,AGMR,9 VII 13,0.5,,0.2117,17,J8,,,,"Debajo de 22, igual que 34",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,,,Collapse and Mudslide,
43,AGMR,10 VII 13,0.5,,0.3821,17,J8,,,,"Debajo de 42, igual que 35 y 36",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,,,Collapse and mudslide with large potsheds,
44,AGMR,10 VII 13,0.5,,0.477,17,J8,,,,"Debajo de 43, igual a 37",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave con tiestos grandes,X,,Collapse and mudslide with large potsheds,
45,AGMR,10 VII 13,0.5,,0.2825,17,J8,,,,"Debajo de 44, igual a 38",Tierra arcillosa. Munsell 10YR 4/2,Primera ocupación sobre el tepetate,X,,First occupation above tepetate,x
46,DHS,10 VII 13,0.5,,0.67,17,K22,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,Surface,
47,DHS,10 VII 13,0.5,,0.73,17,J22,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2", \,,Topsoil,Surface,
48,DHS,10 VII 13,0.5,,0.5,17,I22,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,,Topsoil,Surface,
49,MRD,10 VII 13,0.5,,0.52,17,J17,,,,Debajo de 29,Tierra suelta arcillosa. Munsell 10YR 3/2,Deslave,,,Mudslide,
50,MRD,10 VII 13,0.5,,0.361,17,I17,,,,Debajo de 31,Tierra suelta arcillosa. Munsell 10YR 3/2,Deslave y derrumbe,,,Collapse and Mudslide,
51,MRD,11 VII 13,0.5,,0.53,17,J16,,,,Debajo de 24,Tierra suelta arcillosa. Munsell 10YR 3/2,Deslave,,,Mudslide,
52,MRD,11 VII 13,0.5,,0.46,17,I16,,,,Debajo de 30,Tierra suelta arcillosa. Munsell 10YR 3/2,Deslave y derrumbe,,,Collapse and Mudslide,
53,AGMR,11 VII 13,0.5,,0.335,17,K8,,,,Debajo de 23,Arena fina arriba y tierra arcillosa. Munsell 10YR 3/1,Relleno y deslave,,,Fill and mudslide,
54,AGMR,11 VII 13,0.5,,0.3272,17,K8,,,,"Debajo de 34, igual a elemento 2",Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,,,Collapse and Mudslide,
55,AGMR,12 VII 13,0.5,,0.1227,17,K8,,,,Debajo de 54,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,,,Collapse and Mudslide,
56,DHS,12 VII 13,0.5,,0.21,17,I22,,,,Debajo de 48,Tierra limosa con piedras de derrumbe. Munsell 10YR 5/2,Deslave y derrumbe sobre el apisonado,,,Collapse and Mudslide above tamped earth,
57,DHS,12 VII 13,0.5,,0.37,17,J22,,,,Debajo de 47,Tierra limosa con algunas piedras. Munsell 10YR 4/2,Derrumbe y deslave,,,Collapse and Mudslide,
58,DHS,12 VII 13,0.5,,0.39,17,K22,,,,Debajo de 46,Tierra limosa. Munsell 10YR 5/2,Relleno,,,Fill,
59,AGMR,12 VII 13,0.5,,0.3562,17,K8,,,,Debajo de 55,Tierra arcillosa. Munsell 10YR 3/1,Derrumbe y deslave,,,Collapse and Mudslide,
